5V, 3.81, -5.08, 0.00, TPSB2,54, B2,54
C1, 3.81, 2.54, 0.00, 100nf, CAPC2012X110
C2, 3.81, 0.00, 0.00, 1Âµf, CAPC2012X110
CW/CCW, -5.08, 5.08, 180.00, , A0R-JMP
GND, 7.62, -5.08, 0.00, TPSB2,54, B2,54
J1, 0.04, 9.32, 180.00, SM04B-SRSS-TB, SM04B-SRSS-TB
OUT, 0.00, -5.08, 0.00, TPSB2,54, B2,54
PROG, -11.43, -5.08, 0.00, , SJ
R1, -2.54, 2.54, 90.00, 4.7KOhm, WRIS-KSKE_0805_2.0X1.25X0.6(LXWXH)
R2, 0.00, 2.54, 90.00, 4.7KOhm, WRIS-KSKE_0805_2.0X1.25X0.6(LXWXH)
SCL, -7.62, -5.08, 0.00, TPSB2,54, B2,54
SDA, -3.81, -5.08, 0.00, TPSB2,54, B2,54
